Title_amazon,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author_amazon,Number of Pages_amazon,Author_cleaned,source_URL,Readers Choice Votes,Readers Choice Category,Title_goodreads,Author_goodreads,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages_goodreads,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author,_merge
Judy Blume's Fudge Box Set,1717,4.9,5333,15.45,Dogs,Puffin Books,Puffin Books,Judy Blume,226.0,judy blume,,,,,,,,,,,,,,,,left_only
"Jujutsu Kaisen, Vol. 9 (9)",1718,4.9,4706,7.71,Fantasy,VIZ Media LLC,VIZ Media LLC,Gege Akutami,192.0,gege akutami,,,,,,,,,,,,,,,,left_only
The Five People You Meet in Heaven,1719,4.6,21988,4.81,Metaphysical & Visionary,Hachette Books,Hyperion,Mitch Albom,196.0,mitch albom,,,,,,,,,,,,,,,,left_only
The Naturals Paperback Boxed Set,1720,4.7,108,31.23,Friendship,"Little, Brown Books for Young Readers",Hachette Book Group,Jennifer Lynn Barnes,1680.0,jennifer lynn barnes,https://www.goodreads.com/book/show/62804258-the-brothers-hawthorne?from_choice=true,65748.0,Young Adult Fiction,The Brothers Hawthorne,Jennifer Lynn Barnes,4.01,"40,442","5,814",480.0,Hardcover,"Four brothers. Two missions. One explosive read. Jennifer Lynn Barnes returns to the world of her #1 bestselling Inheritance Games trilogy, and the stakes have never been higher.    Grayson Hawthorne was raised as the heir apparent to his billionaire grandfather, taught from the cradle to put family first. Now the great Tobias Hawthorne is dead and his family disinherited, but some lessons linger. When Grayson’s half-sisters find themselves in trouble, he swoops in to do what he does best: take care of the problem—efficiently, effectively, mercilessly. And without getting bogged down in emotional entanglements.  Jameson Hawthorne is a risk-taker, a sensation-seeker, a player of games. When his mysterious father appears and asks for a favor, Jameson can’t resist the challenge. Now he must infiltrate London’s most exclusive underground gambling club, which caters to the rich, the powerful, and the aristocratic, and win an impossible game of greatest stakes. Luckily, Jameson Hawthorne lives for impossible.   Drawn into twisted games on opposite sides of the globe, Grayson and Jameson—with the help of their brothers and the girl who inherited their grandfather’s fortune—must dig deep to decide who they want to be and what each of them will sacrifice to win.",29-Aug-23,Kindle $12.99,12.99,"Jennifer Lynn Barnes (who mostly goes by Jen) was born in Tulsa, Oklahoma. She has been, in turn, a competitive cheerleader, a volleyball player, a dancer, a debutante, a primate cognition researcher, a teen model, a comic book geek, and a lemur aficionado. She's been writing for as long as she can remember, finished her first full book (which she now refers to as a ""practice book"" and which none of you will ever see) when she was still in high school, and then wrote Golden the summer after her freshman year in college, when she was nineteen. Jen graduated high school in 2002, and from Yale University with a degree in cognitive science (the study of the brain and thought) in May of 2006. She'll be spending the 2006-2007 school year abroad, doing autism research at the University of Cambridge in the United Kingdom.",both
My Encyclopedia of Very Important Things: For Little Learners Who Want to Know Everything (My Very Important Encyclopedias),1721,4.8,8633,8.0,Animals,DK Children,DK Children,DK DK,224.0,dk dk,,,,,,,,,,,,,,,,left_only
The Indoctrinated Brain: How to Successfully Fend Off the Global Attack on Your Mental Freedom,1721,4.7,4,26.99,Globalization,Skyhorse,,Michael Nehls MD  PhD,288.0,michael nehls md phd,,,,,,,,,,,,,,,,left_only
Slammed: A Novel (1),1722,4.6,21496,7.99,Coming of Age,Atria Books,Atria Books,Colleen Hoover,352.0,colleen hoover,,,,,,,,,,,,,,,,left_only
I Am a Big Sister (Caroline Jayne Church),1723,4.8,14755,4.5,New Baby,Cartwheel Books,Scholastic,Caroline Jayne Church,24.0,caroline jayne church,,,,,,,,,,,,,,,,left_only
Shadow Jumper: A mystery adventure book for children and teens aged 10-14 (A Shadow Jumper Mystery Adventure),1724,4.6,4620,7.24,Friendship,Scribblepad Press,Scribblepad Press,J M Forster,210.0,j m forster,,,,,,,,,,,,,,,,left_only
"Oh, Baby, the Places You'll Go!",1725,4.8,6724,5.09,New Baby,Random House Books for Young Readers,Random House Books for Young Readers,Tish Rabe,32.0,tish rabe,,,,,,,,,,,,,,,,left_only
Stress Relief Cat Coloring Book: Calming and Adorable Designs for Adults,1726,4.7,116,8.44,Stress Management,Rockridge Press,,Press Rockridge,76.0,press rockridge,,,,,,,,,,,,,,,,left_only
Essentialism: The Disciplined Pursuit of Less,1726,4.6,18403,9.99,Motivational,Crown Currency,Currency,Greg McKeown,288.0,greg mckeown,,,,,,,,,,,,,,,,left_only
Building a Non-Anxious Life,1727,4.6,224,13.83,Stress Management,Ramsey Press,,Dr. John Delony,304.0,dr. john delony,,,,,,,,,,,,,,,,left_only
Bear Stays Up for Christmas (The Bear Books),1728,4.9,6471,4.99,Bears,Margaret K. McElderry Books,Margaret K. McElderry Books,Wilson Karma,40.0,wilson karma,,,,,,,,,,,,,,,,left_only
The Bad Guys in Let the Games Begin! (The Bad Guys #17),1729,4.7,958,4.78,Animals,Scholastic Paperbacks,Scholastic,Aaron Blabey,192.0,aaron blabey,,,,,,,,,,,,,,,,left_only
The Quarry Girls: A Thriller,1730,4.3,49560,5.13,Coming of Age,Thomas & Mercer,Thomas & Mercer,Jess Lourey,335.0,jess lourey,,,,,,,,,,,,,,,,left_only
"The Ultimate Bathroom Reader: Interesting Stories, Fun Facts and Just Crazy Weird Stuff to Keep You Entertained on the Throne! (Perfect Gag Gift)",1731,4.5,3753,11.9,Trivia & Fun Facts,LAK Publishing,,Bill O'Neill,206.0,bill o'neill,,,,,,,,,,,,,,,,left_only
The Boys in the Boat (Young Readers Adaptation): The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,1732,4.7,1658,7.42,1900s,Puffin Books,Puffin Books,Daniel James Brown,256.0,daniel james brown,,,,,,,,,,,,,,,,left_only
Brilliant Bites: 75 Amazing Small Bites for Any Occasion,1733,4.7,167,17.17,Biscuits,Rock Point,,Maegan Brown,200.0,maegan brown,,,,,,,,,,,,,,,,left_only
The Bad Guys Box Set: Books 1-5,1734,4.9,6742,15.11,Animals,Scholastic Paperbacks,Scholastic,Aaron Blabey,1440.0,aaron blabey,,,,,,,,,,,,,,,,left_only
Paint by Sticker: Plants and Flowers: Create 12 Stunning Images One Sticker at a Time,1734,4.8,835,11.96,Papercrafts,Workman Publishing Company,Readerlink,Publishing Workman,56.0,publishing workman,,,,,,,,,,,,,,,,left_only
Compendium Of The Emerald Tablets,1735,4.7,2778,29.99,Egypt,4biddenknowledge Inc,4biddenknowledge,Billy Carson,238.0,billy carson,,,,,,,,,,,,,,,,left_only
"Between Mom and Me: A Guided Journal for Mother and Son (Journals for Boys, motherhood books)",1736,4.8,5267,7.99,Parents,Sourcebooks Explore,Sourcebooks Explore,Katie Clemons,144.0,katie clemons,,,,,,,,,,,,,,,,left_only
Bunny: A Novel,1737,3.8,8173,9.9,Self-Help & Psychology,Penguin Books,Penguin Books,Mona Awad,336.0,mona awad,https://www.goodreads.com/book/show/101160689-rouge?from_choice=true,17437.0,Horror,Rouge,Mona Awad,3.67,"11,027","3,129",384.0,Hardcover,"From the critically acclaimed author of Bunny comes a horror-tinted, gothic fairy tale about a lonely dress shop clerk whose mother’s unexpected death sends her down a treacherous path in pursuit of youth and beauty. Can she escape her mother’s fate—and find a connection that is more than skin deep?For as long as she can remember, Belle has been insidiously obsessed with her skin and skincare videos. When her estranged mother Noelle mysteriously dies, Belle finds herself back in Southern California, dealing with her mother’s considerable debts and grappling with lingering questions about her death. The stakes escalate when a strange woman in red appears at the funeral, offering a tantalizing clue about her mother’s demise, followed by a cryptic video about a transformative spa experience. With the help of a pair of red shoes, Belle is lured into the barbed embrace of La Maison de Méduse, the same lavish, culty spa to which her mother was devoted. There, Belle discovers the frightening secret behind her (and her mother’s) obsession with the mirror—and the great shimmering depths (and demons) that lurk on the other side of the glass. Snow White meets Eyes Wide Shut in this surreal descent into the dark side of beauty, envy, grief, and the complicated love between mothers and daughters. With black humor and seductive horror, Rouge explores the cult-like nature of the beauty industry—as well as the danger of internalizing its pitiless gaze. Brimming with California sunshine and blood-red rose petals, Rouge holds up a warped mirror to our relationship with mortality, our collective fixation with the surface, and the wondrous, deep longing that might lie beneath.",12-Sep-23,Kindle $14.99,14.99,"Mona Awad is the author of BUNNY, ALL'S WELL and 13 WAYS OF LOOKING AT A FAT GIRL. 13 WAYS won the Amazon Best First Novel Award and was shortlisted for the Giller Prize. Her second novel, BUNNY, was a finalist for a Goodreads Choice Award for Best Horror, the New England Book Award, and won the Ladies of Horror Fiction Best Novel Award. It is currently being optioned for film with Bad Robot Productions. ALL'S WELL was a finalist for a Goodreads Choice Award for Best Horror. Her new novel, ROUGE, is forthcoming in September 2023 with Simon & Schuster. She earned an MFA from Brown University and an MScR in English from the University of Edinburgh where her dissertation was on fear in the fairy tale. In 2018, she completed a Ph.D. in Creative Writing and Literary Studies at the University of Denver. She currently teaches creative writing at Syracuse University and lives in Boston.",both
Small Things Like These,1738,4.4,8084,11.83,Holidays,Grove Press,,Claire Keegan,128.0,claire keegan,,,,,,,,,,,,,,,,left_only
The Story Behind: The Extraordinary History Behind Ordinary Objects,1739,4.3,673,10.99,Trivia & Fun Facts,Mango,Mango,Emily Prokop,256.0,emily prokop,,,,,,,,,,,,,,,,left_only
"Dinosaur Coloring Book for Kids: Realistic, Fun, Adorable Illustrations for Your Young Dinosaur Enthusiast - Explore Prehistoric Lands within the Dino Family Universe",1739,4.8,513,5.99,Dinosaurs,Shiny Rocket Publishing LLP,FougeiTTs,KidzNest Press,105.0,kidznest press,,,,,,,,,,,,,,,,left_only
Architectural Digest at 100: A Century of Style,1740,4.8,2264,77.99,Architectural,Abrams Books,Abrams,Digest Architectural,464.0,digest architectural,,,,,,,,,,,,,,,,left_only
Bob Ross 2024 Wall Calendar,1740,4.7,47,12.8,Individual Artists,Rizzoli Universe,Universe Publishing,Bob Ross,24.0,bob ross,,,,,,,,,,,,,,,,left_only
Yumi and the Nightmare Painter: A Cosmere Novel (Secret Projects),1741,4.7,3218,19.22,Epic,Tor Books,,Brandon Sanderson,384.0,brandon sanderson,,,,,,,,,,,,,,,,left_only
StrengthsFinder 2.0,1742,4.1,8261,8.24,Management,Gallup Press,Gallup Press,Gallup Gallup,175.0,gallup gallup,,,,,,,,,,,,,,,,left_only
"A Year of Zen Page-A-Day Calendar 2024: Sayings, Parables, Meditations & Haiku for 2024",1742,5.0,19,12.99,Personal Transformation,Workman Publishing Company,Workman Publishing,Calendars Workman,640.0,calendars workman,,,,,,,,,,,,,,,,left_only
How to Win Friends and Influence People: Updated For the Next Generation of Leaders (Dale Carnegie Books),1743,4.7,30678,18.29,Interpersonal Relations,Simon & Schuster,,Dale Carnegie,320.0,dale carnegie,,,,,,,,,,,,,,,,left_only
Death & Co: Modern Classic Cocktails,1744,4.8,3247,22.49,Cocktails & Mixed Drinks,Ten Speed Press,Ten Speed Press,Fauchald Nick,320.0,fauchald nick,,,,,,,,,,,,,,,,left_only
"The Orthodox Study Bible, Hardcover: Ancient Christianity Speaks to Today's World",1745,4.8,3587,34.89,Bibles,Thomas Nelson,Thomas Nelson,Theology St,1856.0,theology st,,,,,,,,,,,,,,,,left_only
Flash Cards: Numbers 0 - 100,1745,4.8,11316,3.32,Children's Books,Scholastic Teaching Resources (Teaching Strategies),Scholastic,Resources Scholastic,,resources scholastic,,,,,,,,,,,,,,,,left_only
Gambler: Secrets from a Life at Risk,1746,4.4,1073,19.03,People with Disabilities,Avid Reader Press / Simon & Schuster,,Billy Walters,384.0,billy walters,,,,,,,,,,,,,,,,left_only
The Constitution of the United States and The Declaration of Independence,1747,4.8,10873,1.99,Revolution & Founding,Racehorse,Racehorse,Convention Delegates,48.0,convention delegates,,,,,,,,,,,,,,,,left_only
"Relaxing Flowers: Coloring Book For Adults With Flower Patterns, Bouquets, Wreaths, Swirls, Decorations.",1748,4.7,7208,6.99,Art Therapy & Relaxation,Independently published,,Coloring Book Kim,102.0,coloring book kim,,,,,,,,,,,,,,,,left_only
Ball Complete Book of Home Preserving,1749,4.8,19022,18.0,Canning & Preserving,Robert Rose,Robert Rose,Judi Kingry,448.0,judi kingry,,,,,,,,,,,,,,,,left_only
"Goodbye, Eri",1749,4.8,754,10.19,Horror,VIZ Media LLC,,Tatsuki Fujimoto,208.0,tatsuki fujimoto,,,,,,,,,,,,,,,,left_only
A Wrinkle in Time (Time Quintet),1750,4.4,27114,5.25,Literature & Fiction,Square Fish,Square Fish,L'Engle Madeleine,256.0,l'engle madeleine,,,,,,,,,,,,,,,,left_only
Four Thousand Weeks,1751,4.6,8727,12.23,Happiness,Picador Paper,,Oliver Burkeman,304.0,oliver burkeman,,,,,,,,,,,,,,,,left_only
The Blue Zones Secrets for Living Longer: Lessons From the Healthiest Places on Earth,1752,4.6,296,16.25,Other Diets,National Geographic,,Dan Buettner,288.0,dan buettner,,,,,,,,,,,,,,,,left_only
Daughter of No Worlds (The War of Lost Hearts),1753,4.4,16620,13.99,Sword & Sorcery,Carissa Broadbent,KAVNLON,Carissa Broadbent,518.0,carissa broadbent,https://www.goodreads.com/book/show/62335396-the-ashes-and-the-star-cursed-king?from_choice=true,29127.0,Romantasy,The Ashes and the Star-Cursed King,Carissa Broadbent,4.19,"115,584","11,578",665.0,Kindle Edition,"Love is a sacrifice at the altar of power.In the wake of the Kejari, everything Oraya once thought to be true has been destroyed. A prisoner in her own kingdom, grieving the only family she ever had, and reeling from a gutting betrayal, she no longer even knows the truth of her own blood. She’s left only with one certainty: she cannot trust anyone, least of all Raihn.The House of Night, too, is surrounded by enemies. Raihn’s own nobles are none too eager to accept a Turned king, especially one who was once a slave. And the House of Blood digs their claws into the kingdom, threatening to tear it apart from the inside.When Raihn offers Oraya a secret alliance, taking the deal is her only chance at reclaiming her kingdom–and gaining her vengeance against the lover who betrayed her. But to do so, she’ll need to harness a devastating ancient power, intertwined with her father’s greatest secrets.But with enemies closing in on all sides, nothing is as it seems. As she unravels her past and faces her future, Oraya finds herself forced to choose between the bloody reality of seizing power – and the devastating love that could be her downfall.",14-Apr-23,Kindle Unlimited $0.00,0.0,"I've been concerning teachers and parents with mercilessly grim tales since I was roughly nine years old. Since then, my stories have gotten (slightly) less depressing and (hopefully a lot?) more readable. Today, I write fantasy novels with a heaping dose of badass ladies and a big pinch of romance. When I'm not writing, I'm working at my day job in cybersecurity marketing, watching too many movies, or drawing. I live with my fiance, one very well behaved rabbit, one very poorly behaved rabbit, and one perpetually skeptical cat in Rhode Island.",both
Daughter of No Worlds (The War of Lost Hearts),1753,4.4,16620,13.99,Sword & Sorcery,Carissa Broadbent,KAVNLON,Carissa Broadbent,518.0,carissa broadbent,https://www.goodreads.com/book/show/123368729-slaying-the-vampire-conqueror?from_choice=true,2314.0,Romantasy,Slaying the Vampire Conqueror,Carissa Broadbent,4.13,"11,984","1,710",452.0,Kindle Edition,"She was commanded to kill him with a single strike to the heart. She didn’t expect her own to betray her. Sylina has sacrificed everything for her goddess–her soul, her freedom, her eyes. Life in service to the Arachessen, a cult of the Goddess of Fate, has turned Sylina from orphaned street-rat to disciplined killer, determined to overthrow Glaea’s tyrannical king. But when a brutal vampire conqueror arrives on their shores, Sylina faces an even deadlier adversary. She’s tasked with a crucial mission: infiltrate his army, earn his trust… and kill him. Atrius is a terrifying warrior carving an unstoppable path through Glaea. Yet when Sylina becomes his seer, she glimpses a dark and shocking past–and a side of him that reminds her far too much of parts of herself she’d rather forget. Sylina’s orders are clear. The conqueror cannot live. But as the blood spilled by Glaea’s tyrant king runs thicker, her connection with Atrius only grows stronger. A connection forbidden by her vows. A connection that could cost her everything. Slaying the Vampire Conqueror is a standalone fantasy romance set in the Crowns of Nyaxia world, full of heart-wrenching forbidden romance, dark curses, and epic battles – perfect for fans of The Bridge Kingdom and the From Blood and Ash series. It i s an installment of the heart-pounding fantasy romance series, Mortal Enemies to Monster Lovers . If you like forbidden romance, dark curses, bad*ss heroines, and morally-gray heroes, you’ll devour this sexy, addictive series.",27-Apr-23,Kindle Unlimited $0.00,0.0,"I've been concerning teachers and parents with mercilessly grim tales since I was roughly nine years old. Since then, my stories have gotten (slightly) less depressing and (hopefully a lot?) more readable. Today, I write fantasy novels with a heaping dose of badass ladies and a big pinch of romance. When I'm not writing, I'm working at my day job in cybersecurity marketing, watching too many movies, or drawing. I live with my fiance, one very well behaved rabbit, one very poorly behaved rabbit, and one perpetually skeptical cat in Rhode Island.",both
Redeeming Love,1753,4.8,30620,5.84,Contemporary,Multnomah,Multnomah,Francine Rivers,479.0,francine rivers,,,,,,,,,,,,,,,,left_only
Garfield 2024 Day-to-Day Calendar,1754,4.8,53,14.97,Comic Strips,Andrews McMeel Publishing,,Jim Davis,640.0,jim davis,,,,,,,,,,,,,,,,left_only
Essentials of Classic Italian Cooking: 30th Anniversary Edition: A Cookbook,1755,4.7,4556,27.98,Italian,Knopf,,Marcella Hazan,736.0,marcella hazan,,,,,,,,,,,,,,,,left_only
The Menopause Reset: Get Rid of Your Symptoms and Feel Like Your Younger Self Again,1756,4.6,1606,10.0,Self-Help,Hay House Inc.,,Dr. Mindy Pelz,192.0,dr. mindy pelz,,,,,,,,,,,,,,,,left_only
10x Is Easier Than 2x: How World-Class Entrepreneurs Achieve More by Doing Less,1757,4.6,819,13.92,Success,Hay House Business,,Dan Sullivan,296.0,dan sullivan,,,,,,,,,,,,,,,,left_only
"Folder, American Women Quarters 2021; 2022-2025",1758,4.6,839,2.99,Coin Folders,Whitman Publishing,,Publishing Whitman,,publishing whitman,,,,,,,,,,,,,,,,left_only
"Children Who Dance in the Rain: 2023 Children’s Book of the Year Award, a Book About Kindness, Gratitude, and a Child's Determination to Change the World",1758,4.6,167,17.09,Moving,Compassion Project Press,,Justice Susan,32.0,justice susan,,,,,,,,,,,,,,,,left_only
Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 2,1759,4.9,5835,13.98,Genre Fiction,Seven Seas,,Xiu Mo,452.0,xiu mo,,,,,,,,,,,,,,,,left_only
2024 Supernatural Wall Calendar,1759,4.9,48,12.95,Calendars,Trends International,Trends International,International Trends,28.0,international trends,,,,,,,,,,,,,,,,left_only
Yatzee score pads: Large Print Sheets for Scorekeeping (Score Book),1761,4.6,732,9.62,Backgammon,Independently published,,Andy White,125.0,andy white,,,,,,,,,,,,,,,,left_only
Rick Steves Italy (Travel Guide),1762,4.7,687,18.88,General,Rick Steves,,Rick Steves,1280.0,rick steves,,,,,,,,,,,,,,,,left_only
Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body: A Cookbook,1763,4.7,5448,15.35,Natural Foods,Rodale Books,Rodale Books,Kathryne Taylor,272.0,kathryne taylor,,,,,,,,,,,,,,,,left_only
The Boy in the Striped Pajamas,1764,4.6,28712,3.99,Difficult Discussions,David Fickling Books,Ember,John Boyne,215.0,john boyne,,,,,,,,,,,,,,,,left_only
How to Draw Anything in 3D: Learn to Draw Fun Things in Three Dimensions with Step-by-Step Lessons and Guides,1765,4.3,20,14.43,Pencil,Let's Draw Press,,Leia Bloom,107.0,leia bloom,,,,,,,,,,,,,,,,left_only
The Girl Who Survived: A Riveting Novel of Suspense with a Shocking Twist,1766,4.3,13346,5.95,Genre Fiction,Zebra,,Lisa Jackson,544.0,lisa jackson,,,,,,,,,,,,,,,,left_only
"The Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)",1767,4.8,66977,15.59,Fantasy,Tor Books,Tor Books,Brandon Sanderson,1008.0,brandon sanderson,,,,,,,,,,,,,,,,left_only
Star Trek: Ships of the Line 2024 Wall Calendar,1769,4.8,100,8.52,Performing Arts,Rizzoli Universe,Universe Publishing,Viacom MTV,24.0,viacom mtv,,,,,,,,,,,,,,,,left_only
"Praying Like Monks, Living Like Fools",1770,4.8,1145,13.68,Inspirational,Zondervan Books,HarperCollins Christian Pub.,Tyler Staton,272.0,tyler staton,,,,,,,,,,,,,,,,left_only
What If? 2: Additional Serious Scientific Answers to Absurd Hypothetical Questions,1771,4.8,3470,14.88,Science & Scientists,Riverhead Books,,Randall Munroe,368.0,randall munroe,,,,,,,,,,,,,,,,left_only
The Book of Lost Names,1772,4.7,29429,9.33,World War II,Gallery Books,Gallery Books,Kristin Harmel,416.0,kristin harmel,https://www.goodreads.com/book/show/62327255-the-paris-daughter?from_choice=true,6708.0,Historical Fiction,The Paris Daughter,Kristin Harmel,4.29,"25,885","2,874",384.0,Hardcover,"From the bestselling author of The Book of Lost Names comes a gripping historical novel about two mothers who must make unthinkable choices in the face of the Nazi occupation.Paris, 1939: Young mothers Elise and Juliette become fast friends the day they meet in the beautiful Bois de Boulogne. Though there is a shadow of war creeping across Europe, neither woman suspects that their lives are about to irrevocably change. When Elise becomes a target of the German occupation, she entrusts Juliette with the most precious thing in her life—her young daughter, playmate to Juliette’s own little girl. But nowhere is safe in war, not even a quiet little bookshop like Juliette’s Librairie des Rêves, and, when a bomb falls on their neighborhood, Juliette’s world is destroyed along with it. More than a year later, with the war finally ending, Elise returns to reunite with her daughter, only to find her friend’s bookstore reduced to rubble—and Juliette nowhere to be found. What happened to her daughter in those last, terrible moments? Juliette has seemingly vanished without a trace, taking all the answers with her. Elise’s desperate search leads her to New York—and to Juliette—one final, fateful time.",6-Jun-23,Kindle $12.99,12.99,"Kristin Harmel is the New York Times bestselling and #1 international bestselling author of THE BOOK OF LOST NAMES, THE WINEMAKER'S WIFE, and a dozen other novels that have been translated into numerous languages and sold all over the world.A former reporter for PEOPLE magazine, Kristin has been writing professionally since the age of 16, when she began her career as a sportswriter, covering Major League Baseball and NHL hockey for a local magazine in Tampa Bay, Florida in the late 1990s. After stints covering health and lifestyle for American Baby, Men’s Health, and Woman’s Day, she became a reporter for PEOPLE and spent more than a decade working for the publication, covering everything from the Super Bowl to high-profile murders to celebrity interviews with the likes of Ben Affleck, Matthew McConaughey, OutKast, Justin Timberlake, and Patrick Dempsey. Her favorite stories at PEOPLE, however, were the “Heroes Among Us” features—tales of ordinary people doing extraordinary things. One of those features—the story of Holocaust-survivor-turned-philanthropist Henri Landwirth (whom both Walter Cronkite and John Glenn told Kristin was the most amazing person they’d ever known)—partially inspired Kristin’s 2012 novel, The Sweetness of Forgetting, which was a bestseller all over the world.In addition to a long magazine writing career (which also included articles published in Travel + Leisure, Glamour, Ladies’ Home Journal, Every Day with Rachael Ray, and more), Kristin was also a frequent contributor to the national television morning show The Daily Buzz—where her assignments included flying to London three times to interview the cast of the Harry Potter films. She has appeared on Good Morning America and numerous local television morning shows--and even stumbled into a role as an extra in the 2003 American Idol movie while awaiting an interview with Kelly Clarkson.Kristin was born just outside Boston, Massachusetts and spent her childhood there, as well as in Columbus, Ohio, and St. Petersburg, Florida. After graduating with a degree in journalism (with a minor in Spanish) from the University of Florida, she spent time living in Paris and Los Angeles and now lives in Orlando, with her husband and young son. She travels frequently to France for book research (and—let’s be honest—for the pastries and wine) and writes a book a year for Gallery Books/Simon & Schuster.",both
"The Art of Letting GO: How to Let Go of the Past, Look Forward to the Future, and Finally Enjoy the Emotional Freedom You Deserve! (The Art Of Living Well)",1773,4.5,1444,10.52,Happiness,Independently published,SUPPAS,Damon Zahariades,194.0,damon zahariades,,,,,,,,,,,,,,,,left_only
"The Perfect Loaf: The Craft and Science of Sourdough Breads, Sweets, and More: A Baking Book",1774,4.8,1053,28.99,Bread,Clarkson Potter,,Maurizio Leo,432.0,maurizio leo,,,,,,,,,,,,,,,,left_only
Berserk Deluxe Volume 11,1775,5.0,1485,29.56,Fantasy,Dark Horse Manga,,Kentaro Miura,672.0,kentaro miura,,,,,,,,,,,,,,,,left_only
Good to Great: Why Some Companies Make the Leap and Others Don't,1777,4.5,8596,9.37,Company Profiles,HarperBusiness,Harper Business,Collins Jim,400.0,collins jim,,,,,,,,,,,,,,,,left_only
The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease and Other Dementias (A Johns Hopkins Press Health Book),1779,4.8,2232,14.81,Musculoskeletal Diseases,Johns Hopkins University Press,,Nancy L. Mace,360.0,nancy l. mace,,,,,,,,,,,,,,,,left_only
"CSB She Reads Truth Bible, Champagne Gold LeatherTouch, Black Letter, Full-Color Design, Wide Margins, Journaling Space, Devotionals, Reading Plans, Single-Column, Easy-to-Read Bible Serif Type",1779,4.9,1012,25.19,Bibles,Holman Bible Publishers,Holman Bible Publishers,Raechel Myers,,raechel myers,,,,,,,,,,,,,,,,left_only
"Percy Jackson and the Olympians, Book Three: The Titan's Curse (Percy Jackson & the Olympians)",1781,4.7,30163,7.01,Action & Adventure,Disney Hyperion,Disney-Hyperion,Rick Riordan,352.0,rick riordan,,,,,,,,,,,,,,,,left_only
Disney Moana - I Am Moana Little Sound Book - PI Kids (Disney Moana: Play-A-Sound) (Play-A-Song),1782,4.6,12812,5.85,Fiction,Editors of Phoenix International Publications,PI KIDS,Publications Editors,12.0,publications editors,,,,,,,,,,,,,,,,left_only
The One and Only Ruby,1783,4.8,894,10.82,Elephants,HarperCollins,,Katherine Applegate,240.0,katherine applegate,,,,,,,,,,,,,,,,left_only
Every Last Word,1784,4.6,6987,8.48,Children's Books,"Little, Brown Books for Young Readers","Little, Brown Books for Young Readers",Tamara Ireland Stone,400.0,tamara ireland stone,,,,,,,,,,,,,,,,left_only
"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)",1786,4.8,6540,18.0,Bread,Chronicle Books,Chronicle Books,Robertson Chad,304.0,robertson chad,,,,,,,,,,,,,,,,left_only
"You are an Amazing Boy: A Collection of Inspiring Stories about Courage, Friendship, Inner Strength and Self-Confidence (Motivational Books for Children)",1787,4.6,595,3.19,Boys & Men,Special Art,,Nadia Ross,110.0,nadia ross,,,,,,,,,,,,,,,,left_only
Mother Daughter Journal Pass Back And Forth Between You and Me: A Fun No Stress Just Between Us Journal For Moms And Daughters (Guided Journal For ... Makes A Unique Gift For Mom On Mothers Day),1788,4.7,372,7.89,Motherhood,Independently published,TEYSHA,Brit A Anderson,106.0,brit a anderson,,,,,,,,,,,,,,,,left_only
Baby Touch and Feel: Animals,1789,4.7,11203,4.05,Animals,DK Children,DK Children,DK DK,14.0,dk dk,,,,,,,,,,,,,,,,left_only
"Ralph Lauren A Way of Living: Home, Design, Inspiration",1790,4.6,149,50.99,Interior Design,Rizzoli,,Ralph Lauren,544.0,ralph lauren,,,,,,,,,,,,,,,,left_only
The Everything Gluten-Free & Dairy-Free Cookbook: 300 Simple and Satisfying Recipes without Gluten or Dairy (Everything® Series),1791,4.7,3938,13.11,Allergies,Everything,Everything,Audrey Roberts,320.0,audrey roberts,,,,,,,,,,,,,,,,left_only
Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 25,1792,4.8,266,12.59,Genre Fiction,Airship,,Rifujin Na Magonote,380.0,rifujin na magonote,,,,,,,,,,,,,,,,left_only
The Driving Book: Everything New Drivers Need to Know but Don't Know to Ask,1793,4.6,10308,9.0,Driver's Education,Bloomsbury USA Childrens,Bloomsbury USA Childrens,Karen Gravelle,176.0,karen gravelle,,,,,,,,,,,,,,,,left_only
The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting Up a Generation for Failure,1794,4.7,8742,12.65,Mental Health,Penguin Books,Penguin Books,Jonathan Haidt,352.0,jonathan haidt,,,,,,,,,,,,,,,,left_only
Brain Games - Sticker by Number: Animals - 2 Books in 1 (42 Images to Sticker),1794,4.8,941,9.96,Coloring Books,"Publications International, Ltd.","Publications International, Ltd.",Ltd. Publications,156.0,ltd. publications,,,,,,,,,,,,,,,,left_only
